λ,l(λ),u(λ),n-sequence
31/8,21,97,"{1, 1, 1, 2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 3, 1, 2, -1, 1, -1, 1, 1, -1, 1, -17, -1, 1, -1, 1, 1, -1, 1, -1, 1, -2, 4, 2, 1, -1, -4, 2, 3, 1, -2, 1, 1, -1, 1, 20, 1, -1, 1, -1, 1, 4, -1, 3, 2, -1, 1, 1, -1, 1, -4, -2, 9, -1, -5, -3, -28, -2, 1, -6, 1, -1, 1, -1, 4, 1, 1, -1, 1, 2, 2, 1, -1, 4, -2, 1, -1}"
1/9,2,2,"{-9, 1}"
2/9,3,3,"{9, -5, 1}"
4/9,3,3,"{9, 2, -1}"
5/9,3,3,"{9, -2, 1}"
7/9,5,5,"{3, -3, 5, 1, -1}"
8/9,3,3,"{9, 1, -1}"
10/9,3,3,"{9, -1, 1}"
11/9,5,5,"{1, -1, 9, -1, 1}"
13/9,5,5,"{-3, 3, 2, -1, 1}"
14/9,5,5,"{3, 12, -1, 1, -2}"
16/9,5,5,"{-18, 2, 1, -1, 1}"
17/9,5,5,"{9, 1, -1, 1, 9}"
19/9,5,5,"{9, -1, 1, -1, 9}"
20/9,7,7,"{1, -9, 1, 2, -1, 1, -1}"
22/9,7,7,"{-21, 12, -1, 1, -1, 1, 1}"
23/9,7,7,"{3, 3, 1, -1, 1, -1, 18}"
25/9,7,7,"{18, -2, 1, -1, 1, -1, -45}"
26/9,9,9,"{6, 600, -1, 1, -1, 1, -1, -1, -3}"
28/9,9,9,"{9, -1, 1, -1, 1, -1, 2, 3, 15}"
29/9,10,11,"{3, -6, -8, 4, 1, -1, 1, -1, 1, -1, -3681}"
31/9,12,13,"{9, 2, 5, -1, 1, -1, 1, -1, 1, -1, 5, 2, 9}"
32/9,13,79,"{1, 1, 1, 1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, -1, 1, 1, 1, -1, 1, -1, -1, 2, -2, 1, -1, 1, 1, 5, -4, -2, -1, 2, 1, 1, 1, 1, -2, -13, 2, -1, 3, 1, 1, -1, 16, 25, -11, 1, -1, -6, 2, 4, -1, 1, -1, -1, -1, 13, -2, -1, -4, 5, -3, -1, 1, 1, 3, -1, 6, 2, -1, 1, -1, -399, -1, 1, -1, -63}"
34/9,16,59,"{1, 1, 1, 1, 4, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -8, -1, -1, 2, -1, 1, -1, -4, 6, -7, 2, -1, -3, 1, 1, 3, -7, -2, -1, 1, 1, -3, 2, -159, -1, 1, 2, -1, 1, -1, 1, -2, 5, -2, 9, 19, -1, 1, -1, 1, -27, 5}"
35/9,18,73,"{1, 1, 3, 3, 2, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 2, -1, 1, -2, -2, 1, -1, 1, 42, -1, 2, -1, -2, 18, 1, -1, -1, -1, -2, 4, -1, 1, -1, -5, 1, 165, -1, -7, -2, 5, -1, 2, 8, 4, 2, -1, 1, -69, 1, -1, 1, -1, 3, -1, -3, 1, -1, 2, 13, 1, 171}"
1/10,2,2,"{-10, 1}"
3/10,3,3,"{10, 3, -1}"
7/10,3,3,"{2, -1, 5}"
9/10,3,3,"{10, 1, -1}"
11/10,3,3,"{10, -1, 1}"
13/10,5,5,"{1, -1, 4, -1, -5}"
17/10,5,5,"{20, 1, -2, 1, -1}"
19/10,5,5,"{-2, 5, 1, -1, 1}"
21/10,5,5,"{2, 5, -1, 1, -1}"
23/10,5,5,"{2, -1, 1, -1, 20}"
27/10,7,7,"{5, 4, -1, 1, -1, 1, -30}"
29/10,9,9,"{2, 1, 1, -1, 1, -1, 1, -27, -5}"
31/10,7,7,"{2, -1, 1, -1, 1, -1, -190}"
33/10,11,11,"{1, -2, 4, -1, 1, -1, 1, -1, 1, -5, -22778}"
37/10,15,87,"{1, 1, 1, 1, 3, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -4, -1, -6, -1, 4, -1, 1, -1, 2, -1, 1, 1, -1, 2, 15, -1, -3, 1, 1, 1, -5, -2, -1, 1, -1, 2, -1, 1, -2, -2, 1, -1, 1, -4, -1, -1, 1, 1, -1, 2, 31, 1, -1, -7, -1, 1, 5, -1, 1, -1, 2, 1, 1, -1, 1, 4, 2, 2, -1, 1, -1, -4, 1, -1, 20, 1, 10, 1, 4, -1, -5, -2}"
39/10,21,41,"{1, 1, 1, -5, -9, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 2250, 1, -259, -2, -1, 1, -1, -41, 5, -2, -9, -14, 3, -5}"
1/11,2,2,"{-11, 1}"
2/11,3,3,"{11, -6, 1}"
3/11,3,3,"{11, -4, 1}"
4/11,3,3,"{11, -3, 1}"
5/11,3,3,"{11, 2, -1}"
6/11,3,3,"{11, -2, 1}"
7/11,5,5,"{1, -2, 11, -1, 2}"
8/11,5,5,"{-11, 7, 2, -2, 1}"
9/11,5,5,"{1, -1, -11, -1, 1}"
10/11,3,3,"{11, 1, -1}"
12/11,3,3,"{11, -1, 1}"
13/11,5,5,"{1, -1, 11, -1, 1}"
14/11,5,5,"{11, -4, 1, -1, 44}"
15/11,5,5,"{11, -3, 3, -1, 1}"
16/11,5,5,"{11, 2, -1, 1, 22}"
17/11,5,5,"{11, -2, 1, -1, 22}"
18/11,7,7,"{11, 1796, 5, -1, 1, -2, -53}"
19/11,7,7,"{-11, 7, -12, -2, 1, -1, 3}"
20/11,7,7,"{1, -1, 1, 3, -1, -11, -1}"
21/11,5,5,"{11, 1, -1, 1, 11}"
23/11,5,5,"{11, -1, 1, -1, 11}"
24/11,5,5,"{22, -3, 1, -1, 1}"
25/11,7,7,"{1, -22, -2, 1, -1, 1, 77}"
26/11,7,7,"{33, -1, 2, -1, 1, -1, -88}"
27/11,9,9,"{10, -11, -9, 1, -1, 1, -1, -1, 946}"
28/11,9,9,"{11, -2, -2, -1, 1, -1, 1, -9, -11}"
29/11,7,7,"{2, -11, 1, -1, 1, -1, -33}"
30/11,9,9,"{4, -3, 1, -1, 1, -1, 83, 5, -209}"
31/11,9,9,"{1, 11, 1, -2, 1, -1, 1, -1, -66}"
32/11,10,17,"{1, 1, 1, 1, -1, 1, -1, 1, -18, -6, 16, 8, -3, 1, 4, 4, 33}"
34/11,10,49,"{1, 1, 1, 1, -1, 1, -1, 1, -1, -1, 10, -5, -3, 1, -2, 3, -2, 1, 3, 1, 1, 1, 2, -1, 1, 2, 39, 30, 1, -1, -1, 2, -1, -1, -9, -2, 3, -7, 50, 1, -1, -2, 31, 1, -1, -1, -29, -1, 11}"
35/11,11,11,"{1, 1, -1, 1, -1, 1, -1, 11, 3, -11, -1}"
36/11,11,11,"{11, 2, -1, 1, -1, 1, -1, 1, 2, -11, 458}"
37/11,11,13,"{1, 1, -1, 1, -1, 1, -1, 1, -65, -34, -3, -1, 33}"
38/11,12,39,"{1, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 1, 1, 1, -2, 1, -1, 1, -7, 1, -3, 2, -1, 2, -1, 6, 7, -6, -5, -1, 3, 4, 3, 7, -82, 1, -2, -297, 16}"
39/11,13,77,"{1, 1, 1, -6, 6, -1, 1, -1, 1, -1, 1, -1, 1, -13, -4, -1, 1, -3, -1, 4, -1, 2, -2, 1, -1, 2, 1, 2, -2, -2, -14, -2, -2, -6, -1, -4, -1, 4, -1, 1, -1, -3, -8, 2, 1, -1, 1, -11, -4, 3, -22, 14, -1, -6, 1, -2, 1, 7, -1, 6, -2, 1, -1, -14, 2, -40, -1, 1, -1, 4, -2, -7, 1, -1, 2, 4, -66}"
40/11,15,81,"{1, 1, 1, 1, 2, -1, 1, -1, 1, -1, 1, -1, 1, -1, -12, -12, 1, -1, 1, 4, 2, 1, -1, 1, -1, -3, -4, 8, -1, 1, 1, -1, 1, 1, -6, -3, 1, -1, 1, -17, -1, 1, -1, 34, 5, -1, 2, 137, 1, -1, 1, 7, 1, 14, 1, -2, 1, 1, 3, -1, -6, -2, -27, 3, -1, -15, 1, 1, 2, -1, 10, -182, -2, 1, 2, -1, 1, -2, 5, 58, 11}"
41/11,15,45,"{1, 1, -5, -1, 10, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, -3, 1, -1, 13, -2, 46, -1, -21, -2, 2, -1, 3, -1, 2, -2, 121, 2, -7, 2, -1, 1, -3, -1, 511, -1, 1, -45, 1, 44}"
42/11,17,59,"{1, -1, -6, -1, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -2, -11, -19, 2, -1, 1, -2, -4, -1, 1, -1, 1, -3, 2, 22, 2, 1, 1, -1, -7, -1, -19, -1, 1, -1, 2, 5, 1, 2, -1, 22, 669, 2, 1, -1, 1, 3, 3, 1, -6, -11}"
43/11,20,93,"{2, 9, 6, 3, -2, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -2, 1, 47, 1, 17, -10, 1, 1, -11, 41, 1, -1, 1, -434, -1, -1, 1, -2, 1, -46, 13, -2, -11, 4, -3, -16, -3, 1, -1, -1, -1, -8, 6, 5, -3, 1, 1, 1, 1, -1, -6, -4, 1, -1, 1, -1, -5, -31, 1, -2, 1, 1, 1, -1, 1, -1, 1, 293, -1, 1, 3, 1, 1, 22, 1, -1, 3, -1, -11}"
1/12,2,2,"{-12, 1}"
5/12,3,3,"{4, -3, 1}"
7/12,3,3,"{6, -2, 1}"
11/12,3,3,"{12, 1, -1}"
13/12,3,3,"{12, -1, 1}"
17/12,5,5,"{-3, 2, 2, -1, 1}"
19/12,5,5,"{3, 8, -1, 1, -2}"
23/12,5,5,"{-2, 6, 1, -1, 1}"
25/12,5,5,"{2, 6, -1, 1, -1}"
29/12,7,7,"{1, 144, -1, 1, -1, 1, 1}"
31/12,7,7,"{6, 190, 1, -1, 1, -1, -8}"
35/12,9,9,"{1, -18, 2, -1, 1, -1, 1, -2, 30}"
37/12,9,9,"{78, 1, -8, -1, 1, -1, 1, -1, 2}"
41/12,9,9,"{60, -1, 1, -1, 1, -1, 1, -1, 60}"
43/12,14,15,"{1, 2, 8, -2, 1, -1, 1, -1, 1, -1, 1, -1, 3, -35656, 27}"
47/12,21,91,"{1, 1, 2, 6, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 1, 2, -1, 1, -4, 1, -1, 1, 2, -1, 1, -1, 87, -1, 1, 1, -31, 1, -4, 4, 18, -1, -33, 8, 1, 2, 2, -1, 1, -3, 2, 1, -1, 2, -3, -1, 1, -1, 1, -1, -2, 1, -1, 5, 1, -2, -1, 1, 4, -1, 1, -1, 1, -4, 2, -5, 1, 2, -26, -1, 9, -2, -6, 2, -1, 1, 12}"
1/13,2,2,"{-13, 1}"
2/13,3,3,"{13, -7, 1}"
3/13,3,3,"{13, 4, -1}"
4/13,3,3,"{13, 3, -1}"
5/13,5,5,"{-13, 8, -9, -1, 2}"
6/13,3,3,"{13, 2, -1}"
7/13,3,3,"{13, -2, 1}"
8/13,5,5,"{13, -5, 9, -1, 2}"
9/13,5,5,"{13, -3, 1, -3, 13}"
10/13,5,5,"{-13, 4, 4, 1, -1}"
11/13,5,5,"{1, -1, -13, -1, 1}"
12/13,3,3,"{13, 1, -1}"
14/13,3,3,"{13, -1, 1}"
15/13,5,5,"{1, -1, 13, -1, 1}"
16/13,5,5,"{13, 4, -1, 1, 52}"
17/13,5,5,"{13, 29, 1, -1, 3}"
18/13,7,7,"{-39, 7, -1, -1, 3, -1, 1}"
19/13,5,5,"{13, 2, -1, 1, 26}"
20/13,5,5,"{13, -2, 1, -1, 26}"
21/13,5,5,"{-39, 6, -1, 1, -2}"
22/13,7,7,"{2, 26, 1, -1, 2, -1, 39}"
23/13,7,7,"{1, 65, 1, -1, 1, 2, -26}"
24/13,5,5,"{-26, 3, 1, -1, 1}"
25/13,5,5,"{13, 1, -1, 1, 13}"
27/13,5,5,"{13, -1, 1, -1, 13}"
28/13,7,7,"{1, -13, 1, 3, -1, 1, -1}"
29/13,8,9,"{1, -2, 13, -3, 1, -1, 1, -9, 13}"
30/13,7,7,"{13, 3, -2, 1, -1, 1, -130}"
31/13,9,9,"{3, -13, 3, -1, 2, -1, 1, -1, 611}"
32/13,9,9,"{13, 2, -8, 1, -1, 1, -1, -1, -195}"
33/13,9,9,"{13, -2, 8, 1, -1, 1, -1, -6, -52}"
34/13,5,5,"{104, 1, -1, 1, -1}"
35/13,7,7,"{52, -4, 1, -1, 1, -1, -299}"
36/13,7,7,"{104, 19, 1, -1, 1, -1, 2}"
37/13,9,9,"{13, 7, -2, 1, -1, 1, -1, 4, 65}"
